""," ’»Î","co2","«¯”Ú"
"1",90.5675675675676,6096.96530605703,"1"
"2",245,5495.10725711351,"1"
"3",400.675675675676,3536.14914251351,"1"
"4",583.513513513514,4247.1016688973,"1"
"5",779.405405405405,2970.93193273054,"1"
"6",1024.40540540541,3439.00350237027,"1"
"7",1240.54054054054,4879.91171916459,"1"
"8",1525.10810810811,3102.90179430216,"1"
"9",1858.24324324324,3539.54429609189,"1"
"10",2193.45945945946,2393.76531427838,"1"
"11",2596.83783783784,3105.27422694135,"1"
"12",3100.08108108108,4843.4153228973,"1"
"13",3610.62162162162,2683.06015375297,"1"
"14",4030.43243243243,3736.30149402703,"1"
"15",4649.02702702703,3068.43478475946,"1"
"16",5180.51351351351,3549.83761281622,"1"
"17",5913.64864864865,3643.15562718919,"1"
"18",6592.5945945946,4033.73652967838,"1"
"19",7409.97297297297,3647.85923398649,"1"
"20",8249.43243243243,4308.64376654865,"1"
"21",8982.4054054054,3818.57154451081,"1"
"22",9652.81081081081,4066.34511666216,"1"
"23",10022.6486486486,4578.90907630811,"1"
"24",10589.3513513514,6837.04763979459,"1"
"25",11156.1621621622,5691.45524752432,"1"
"26",11946.4864864865,5391.20012293892,"1"
"27",12000,4878.15310098919,"1"
"28",12406.0810810811,3502.55709591892,"1"
"29",13107.7567567568,3920.93933753514,"1"
"30",13933.6216216216,4917.91627872973,"1"
"31",14427.5675675676,4644.86102894595,"1"
"32",14991.1351351351,5193.30972045405,"1"
"33",15578.4864864865,4899.4851412054,"1"
"34",16137.6216216216,4335.37640982432,"1"
"35",16843.8648648649,6540.18486196757,"1"
"36",17687.027027027,5755.25339713513,"1"
"37",18148.8108108108,4675.55302767568,"1"
"38",19033.8108108108,5144.75645395946,"1"
"39",19663.7297297297,5490.93694697568,"1"
"40",20174.1621621622,7406.18177208108,"1"
"41",20544.9189189189,5901.3662432973,"1"
"42",21420.3513513513,4902.31340545946,"1"
"43",21916.8108108108,7135.31904650541,"1"
"44",22722.7837837838,5576.00363305405,"1"
"45",23718.8108108108,4799.28216513514,"1"
"46",24000,5936.49260184595,"1"
"47",24074.4054054054,7827.13770801622,"1"
"48",24669.1621621622,5391.6822277027,"1"
"49",25354.2432432432,5041.77387846486,"1"
"50",26182.7027027027,5855.23999194595,"1"
"51",27319.5405405405,6050.47336983784,"1"
"52",28116.2702702703,5960.56635686487,"1"
"53",28852.7027027027,7255.4890542973,"1"
"54",29661.4864864865,5537.87276704595,"1"
"55",30003.7837837838,7360.25589708108,"1"
"56",30611.0810810811,6784.91856340541,"1"
"57",31367.6486486487,6517.94296405405,"1"
"58",32232.1351351351,6560.36172376216,"1"
"59",32986.4864864865,6433.04265213514,"1"
"60",33781.0810810811,6014.06988583784,"1"
"61",34816.6486486486,7645.12199297297,"1"
"62",35800.1891891892,8526.05493972973,"1"
"63",36000,7926.4988297027,"1"
"64",36564.9189189189,6790.82441683784,"1"
"65",37629.027027027,7401.60617410811,"1"
"66",38381.3513513514,8705.2249697027,"1"
"67",39287.2972972973,6465.6562667027,"1"
"68",40412.4864864865,7479.58810421622,"1"
"69",41308.972972973,5636.13355483784,"1"
"70",42240.972972973,7148.99466183243,"1"
"71",43189.3513513514,8751.61847789189,"1"
"72",44288,6034.81730932432,"1"
"73",45389.5405405405,8752.30376597297,"1"
"74",46782.4864864865,7718.18714981081,"1"
"75",47993.5135135135,7656.57527754054,"1"
"76",48881.3513513514,7759.48817389189,"1"
"77",49953.8108108108,9180.28327235946,"1"
"78",50723.9459459459,7933.50186062973,"1"
"79",52173.6216216216,7498.86340521622,"1"
"80",53717.5675675676,8955.783142,"1"
"81",55064.2432432432,8166.63302208108,"1"
"82",56878.8108108108,7373.77661727027,"1"
"83",58824.5135135135,12705.8733447838,"1"
"84",60152.0540540541,8493.37545393243,"1"
"85",61943.5135135135,8258.48813572973,"1"
"86",63820.3783783784,8411.28983448649,"1"
"87",65708.4864864865,8605.22010897297,"1"
"88",68125.7027027027,9426.55767671081,"1"
"89",70493.3783783784,9774.96392602703,"1"
